,No,CFM Name,Postal code,Demand*,cluster,new_cluster
0,0,FareShare North East Warehouse,NE5 5HH,0.0,99,2
1,1,Abbey Hill Academy,TS19 8BU,83.14111111,5,5
2,2,Abbey Lodge,SR1 2QF,79.09272727,3,3
3,3,Abbott House Changing Lives,NE4 6NG,96.38083333,2,2
4,4,Academy 360,SR4 9BA,110.941,3,3
5,5,Age UK Sunderland,SR2 7AQ,41.82363636,3,3
6,6,All About You,SR5 5LJ,81.10111111,3,3
7,7,Approach Development,TS10 4NJ,94.00076923,5,5
8,8,Basement Project,NE12 9NQ,56.23409091,2,2
9,9,Belle Vue 60+ Club,TS25 1QU,35.42846154,5,5
10,10,Belle Vue Centre Cafe,TS25 1QU,76.02692308,5,5
11,11,Belle Vue Play Scheme,TS25 1QU,40.97307692,5,5
12,12,Belle Vue Youth Project,TS25 1QU,76.08461538,5,5
13,13,Benfield School,NE6 4NU,70.27600000000001,2,2
14,14,Beyond Limits,DL13 5JN,492.3523077,6,6
15,15,Bibby House - Changing Lives,NE10 8XJ,86.65454545,2,2
16,16,Bilton Hall Community Trust,NE32 3RT,77.33181818,3,3
17,17,Blyth Star Enterprises,NE24 3AG,78.94230769,2,2
18,18,Brougham Primary School,TS24 8EU,88.611,5,5
19,19,Byker Community Association,NE6 2DX,225.13846150000003,2,2
20,20,Cafe on the Shire - NTDF,NE27 0HJ,81.78076923,2,2
21,21,Cheesy Waffles Project,DH1 2LL,79.96454545,0,0
22,22,Chester West & Central Community Project @ Bullion Hall,DH2 2ES,91.56545455,0,0
23,23,Choysez,NE22 7DQ,82.17,2,2
24,24,Corbridge Middle School,NE45 5HX,59.6525,1,1
25,25,Cornerstones Cafe,DH3 3TF,49.832,0,0
26,26,County Durham Tees Valley Rescue Mission,DL5 7EA,109.565,6,6
27,27,Cumberland House,NE4 6AL,75.4175,2,2
28,28,Delta North Consett (formerly YMCA),DH8 5DH,64.115,1,1
29,29,Dementia Care,NE13 7DS,74.48,2,2
30,30,Dynamix Extreme Cic,NE8 3AT,73.51461538,2,2
31,31,East Durham Community Initiatives Seaham),SR7 7AU,55.77076923,4,4
32,32,East Durham Partnership (Horden),SR8 4TQ,116.27333329999999,4,4
33,33,Eastlea Community,SR7 8DX,83.95461538,4,4
34,34,Elgin Community Kitchen,NE9 5PA,69.25857143,2,2
35,35,Elliott House /Westbridge,NE4 6US,174.4604167,2,2
36,36,Emmaus North East,NE33 4RT,77.08818182,3,3
37,37,Eslington House Changing Lives,NE8 2TQ,111.4763636,2,2
38,38,Excelsior Academy,NE15 6AF,133.009,2,2
39,39,Family Gateway,NE28 0PP,101.15777779999999,2,2
40,40,Felling Community Association,NE10 0NF,104.214,2,2
41,41,Forage Community Project,SR4 7RE,215.13666669999998,3,3
42,42,Francis House Changing Lives,NE4 6AN,82.73333333,2,2
43,43,Gateshead Young Peoples Mental Health Service,NE8 1QD,118.4675,2,2
44,44,Great Lumley Community Centre,DH3 4JD,85.45200000000001,0,0
45,45,Great North Road Changing Lives,DH2 3NL,167.4723077,0,0
46,46,Green Gates Primary,TS10 4HS,53.045,5,5
47,47,Harrowgate Hill Primary,DL3 0HZ,87.80888889,6,6
48,48,Haswell Mencap Lisa Dixon Centre,DH6 2DA,112.5223077,4,4
49,49,Health Works Newcastle,NE15 8RZ,139.79416669999998,2,2
50,50,Hub of Wishes,DL5 7DZ,104.3265,6,6
51,51,Investing in People and Culture,NE8 1SQ,91.096,2,2
52,52,Junction 7,DL5 7DZ,100.99,6,6
53,53,Junior Neighbourhood Watch,DL5 7DZ,106.461,6,6
54,54,Kibblesworth Village Millenium Centre,NE11 0XN,92.96545455,0,0
55,55,Kings Cafe,DL3 0QT,110.595,6,6
56,56,Labyrinth Holistic Cafe,TS18 1DY,119.04916670000001,5,5
57,57,Little Sisters Of The Poor - Newcastle,NE4 7QA,98.44083333,2,2
58,58,Lobley Hill Primary,NE11 0AT,61.76818182,2,2
59,59,Looked After Through Care Darlington Borough Council,DL1 5PW,108.971,6,6
60,60,Mickley First School,NE43 7BJ,60.69875,1,1
61,61,Miss Tina's Coffee Shop,SR5 2JR,42.56818182,3,3
62,62,Mount Pleasant Primary School,DL3 9HE,95.77,6,6
63,63,Moving On Durham,DH1 5HL,68.342,0,0
64,64,Murton Salvation Army,SR7 9NL,86.32230769,4,4
65,65,New Walk Property Management Middlesbrough,TS1 3LF,93.65,5,5
66,66,New Walk Property Management Stockton,TS18 1HD,121.41692309999999,5,5
67,67,Newport Primary,TS1 5NQ,93.49,5,5
68,68,PACT House,DH9 0JE,474.47666669999995,0,0
69,69,Park End Primary,TS3 0AA,123.74384620000001,5,5
70,70,Pelton Community Centre,DH2 1DE,77.25,0,0
71,71,People's Pantry,NE39 2BE,107.71166670000001,1,1
72,72,Pickle Palace,NE40 4AT,99.37555556,1,1
73,73,Pottery Bank Centre,NE6 3SW,97.10444444,2,2
74,74,Praxis,NE4 8ED,108.0325,2,2
75,75,Prudhoe Castle First School,NE42 6PH,53.515,1,1
76,76,Reach Out Recovery,TS24 7AD,85.58384615,5,5
77,77,Ron Eager House Changing Lives,NE1 2AF,82.72666667,2,2
78,78,Roseberry Primary,TS23 2HJ,81.89,5,5
79,79,Rosebrook,TS19 9LF,71.56636364,5,5
80,80,Sanctuary Supported Housing,TS18 2HR,72.94923077,5,5
81,81,Sanctuary Supported Living Hartlepool,TS26 8DB,76.56,5,5
82,82,Selby Cottage Childrens Centre,DH2 2EY,84.14818182,0,0
83,83,Soul Food Spaces (Peace Of Mind),NE8 4QP,117.8371429,2,2
84,84,Sprinwell Community Hub,NE9 7AL,102.2845455,2,2
85,85,St Davids Community Project,SR3 3HG,67.82272727,3,3
86,86,St Gabriels Catholic Voluntary Academy,TS7 9LF,76.199,5,5
87,87,St. John the Baptist Primary School,TS19 0FB,68.964,5,5
88,88,St.Peters Court,DH7 6FB,109.055,0,0
89,89,Sunderland Area Parent Support,SR3 2PE,52.06545455,3,3
90,90,Sunderland North Family Zone,SR2 8AB,97.95700000000001,3,3
91,91,Sunderland Ymca,SR1 2QF,96.84818182,3,3
92,92,Sunshine Day Nursery at Seascape Children's Centre,SR8 5NJ,81.75615385,4,4
93,93,The Albert,DH6 2LT,100.6030769,4,4
94,94,The Ashley Foundation,SR1 2QB,94.25727273,3,3
95,95,The Laurels Childcare Ltd,DH1 2EY,86.4675,0,0
96,96,The Oasis Cafe,NE4 7RW,97.31583333,2,2
97,97,The Opportunity Cafe,NE15 8NY,83.44909091,2,2
98,98,The Rifty Youth Project,TS25 4JY,85.10923077,5,5
99,99,Tyneside Vineyard Extraordinary Project,NE6 2FF,38.45384615,2,2
100,100,Umbrella Community Centre,DH8 5SD,113.4795,1,1
101,101,Vinnie's Cafe,NE1 2TQ,135.13416669999998,2,2
102,102,Virginia House Changing Lives,NE4 7NQ,103.39,2,2
103,103,Wallsend People Centre,NE28 6RN,100.21,2,2
104,104,Washingwell Primary School,NE16 4RB,51.91625,2,2
105,105,West View Primary School,TS24 9BP,70.238,5,5
106,106,West View Project,TS24 9JQ,51.06416667,5,5
107,107,Wharton Trust,TS24 8NS,85.07923077,5,5
108,108,Whitehead Street - Changing Lives,NE33 5ND,102.36454549999999,3,3
109,109,Saplings Kindergarden,SR8 1NJ,80.0,4,4
110,110,Blyth Changing Lives,NE24 2EH,80.0,2,2
