,postal_code,longitude,latitude
0,TS198BU,-1.3438479,54.58183409999999
1,SR12QF,-1.3783088,54.90289240000001
2,NE46NG,-1.633187,54.97210030000001
3,SR49BA,-1.4438444,54.8972311
4,SR27AQ,-1.3855734,54.90152
5,SR55LJ,-1.422753,54.9289595
6,TS104NJ,-1.0652444,54.5928248
7,NE129NQ,-1.5669218,55.0173973
8,TS251QU,-1.2100757,54.6722099
9,TS251QU,-1.2100757,54.6722099
10,TS251QU,-1.2100757,54.6722099
11,TS251QU,-1.2100757,54.6722099
12,NE64NU,-1.5591289,54.990115
13,DL135JN,-1.8401776,54.64011259999999
14,NE108XJ,-1.541096,54.944211
15,NE323RT,-1.4685495,54.9717853
16,NE243AG,-1.5015777,55.1278358
17,TS248EU,-1.218497,54.693482
18,NE62DX,-1.5747598,54.9738161
19,NE270HJ,-1.5064259,55.038142
20,NE110RU,-1.6151403,54.9246677
21,DH12LL,-1.5387977,54.784691
22,DH22ES,-1.5803892,54.8530636
23,NE227DQ,-1.5923534,55.1468669
24,NE455HX,-2.0217686,54.9797028
25,DH33TF,-1.5756429,54.859314
26,DL55DH,-1.5648881,54.6160292
27,NE46AL,-1.6233864,54.9711122
28,DH85DH,-1.8369773,54.85289880000001
29,NE137DS,-1.6352147,55.04785500000001
30,NE83AT,-1.5891135,54.9651085
31,SR77AU,-1.3361299,54.8388022
32,SR84TQ,-1.3160348,54.7701321
33,SR78DX,-1.3663224,54.8342563
34,NE46US,-1.6430077,54.971624
35,NE334RT,-1.4326777,54.9794426
36,NE82TQ,-1.6272121,54.95118
37,NE156AF,-1.6901537,54.9752832
38,NE280PP,-1.4975081,55.0010471
39,NE100NF,-1.5701303,54.9486617
40,SR47RE,-1.4076799,54.8992885
41,NE46AN,-1.625108,54.9712614
42,NE81QD,-1.6095476,54.9562339
43,DH34JD,-1.5445116,54.8363354
44,DH23NL,-1.5970677,54.8289541
45,TS104HS,-1.0737941,54.5975472
46,DL30HZ,-1.5491707,54.5462386
47,DH62DA,-1.4216946,54.7840555
48,NE158RZ,-1.7124384,54.9767799
49,DL57DZ,-1.5927828,54.61995169999999
50,NE81SQ,-1.6083361,54.9556475
51,NE55HH,-1.6959281,55.0006011
52,DL57DZ,-1.5927828,54.61995169999999
53,DL57DZ,-1.5927828,54.61995169999999
54,NE110XN,-1.6235549,54.90296559999999
55,DL30QT,-1.5597151,54.54105120000001
56,TS181DY,-1.3175627,54.5637923
57,NE47QA,-1.6441798,54.9662716
58,NE110AT,-1.6380024,54.9386443
59,DL15PW,-1.5552655,54.5240702
60,NE437BJ,-1.8879133,54.9537877
61,SR52JR,-1.4026432,54.9210205
62,DL39HE,-1.5942065,54.54026
63,DH15HL,-1.5810966,54.79978029999999
64,SR79NL,-1.383377,54.8153332
65,TS13LF,-1.2373683,54.5658361
66,TS181HE,-1.3183346,54.5624135
67,TS15NQ,-1.24589,54.5734574
68,DH90JE,-1.6978006,54.871469
69,TS30AA,-1.1966684,54.54997340000001
70,DH21DE,-1.6092726,54.8729726
71,NE392BE,-1.7832109,54.9308404
72,NE404AT,-1.7936367,54.9521999
73,NE63SW,-1.5526729,54.9635127
74,NE48ED,-1.6543555,54.969835
75,NE426PH,-1.8645502,54.9608609
76,TS247AD,-1.2068758,54.6852778
77,NE12AF,-1.6036404,54.9710724
78,TS232HJ,-1.2838229,54.6085305
79,TS199LF,-1.3452975,54.589871
80,TS182HR,-1.3027815,54.5704613
81,TS268DB,-1.2179079,54.6850819
82,DH22EY,-1.57925,54.8627057
83,NE84QP,-1.6099706,54.9489996
84,NE97AL,-1.564771,54.9289385
85,SR33HG,-1.4284034,54.8748856
86,TS79LF,-1.1749383,54.5505285
87,TS190FB,-1.3259501,54.5808318
88,DH76FB,-1.6278191,54.8233909
89,SR32PE,-1.422608,54.8697953
90,SR28AB,-1.373538,54.9010544
91,SR12QF,-1.3783088,54.90289240000001
92,SR85NJ,-1.3259052,54.7645299
93,DH62LT,-1.3860913,54.76300000000001
94,SR12QB,-1.3760593,54.9046379
95,DH12EY,-1.5518637,54.77559369999999
96,NE47RW,-1.6366406,54.9655123
97,NE158NY,-1.7176718,54.9697337
98,TS254JY,-1.2403696,54.6725903
99,NE62FF,-1.5772037,54.9717187
100,DH85SD,-1.833231,54.8528694
101,NE12TQ,-1.597807,54.9746351
102,NE47NQ,-1.6431982,54.96421909999999
103,NE286RN,-1.5350658,54.9901621
104,NE164RB,-1.6701073,54.9388968
105,TS249BP,-1.2275715,54.705658
106,TS249JQ,-1.2242515,54.70672099999999
107,TS248NS,-1.216643,54.6943584
108,NE335ND,-1.442879,54.97665379999999
