,name,postal_code,longitude,latitude
0,,NE55HH,-1.6959281,55.0006011
1,,TS198BU,-1.3438479,54.58183409999999
2,,SR12QF,-1.3783088,54.90289240000001
3,,NE46NG,-1.633187,54.97210030000001
4,,SR49BA,-1.4438444,54.8972311
5,,NE340LZ,-1.4389691,54.9693838
6,,SR27AQ,-1.3855734,54.90152
7,,SR55LJ,-1.422753,54.9289595
8,,TS104NJ,-1.0652444,54.5928248
9,,NE129NQ,-1.5669218,55.0173973
10,,TS43AP,-1.2257674,54.5548207
11,,TS251QU,-1.2100757,54.6722099
12,,TS251QU,-1.2100757,54.6722099
13,,TS251QU,-1.2100757,54.6722099
14,,TS251QU,-1.2100757,54.6722099
15,,NE64NU,-1.5591289,54.990115
16,,DL135JN,-1.8401776,54.64011259999999
17,,NE108XJ,-1.541096,54.944211
18,,NE323RT,-1.4685495,54.9717853
19,,NE243AG,-1.5015777,55.1278358
20,,TS248EU,-1.218497,54.693482
21,,NE62DX,-1.5747598,54.9738161
22,,NE270HJ,-1.5064259,55.038142
23,,DH12LL,-1.5387977,54.784691
24,,DH22ES,-1.5803892,54.8530636
25,,NE227DQ,-1.5923534,55.1468669
26,,NE455HX,-2.0217686,54.9797028
27,,DH33TF,-1.5756429,54.859314
28,,DL57EA,-1.592019,54.62133309999999
29,,NE46AL,-1.6233864,54.9711122
30,,NE54JD,-1.6914626,55.0080687
31,,DH85DH,-1.8369773,54.85289880000001
32,,NE137DS,-1.6352147,55.04785500000001
33,,DH85HL,-1.8321821,54.8563237
34,,NE83AT,-1.5891135,54.9651085
35,,SR77AU,-1.3361299,54.8388022
36,,SR84TQ,-1.3160348,54.7701321
37,,SR78DX,-1.3663224,54.8342563
38,,NE95PA,-1.5840713,54.9484785
39,,NE46US,-1.6430077,54.971624
40,,NE334RT,-1.4326777,54.9794426
41,,NE82TQ,-1.6272121,54.95118
42,,NE156AF,-1.6901537,54.9752832
43,,NE280PP,-1.4975081,55.0010471
44,,NE100NF,-1.5701303,54.9486617
45,,SR47RE,-1.4076799,54.8992885
46,,NE46AN,-1.625108,54.9712614
47,,NE81QD,-1.6095476,54.9562339
48,,DH34JD,-1.5445116,54.8363354
49,,DH23NL,-1.5970677,54.8289541
50,,TS104HS,-1.0737941,54.5975472
51,,DL30HZ,-1.5491707,54.5462386
52,,DH62DA,-1.4216946,54.7840555
53,,NE158RZ,-1.7124384,54.9767799
54,,DL57DZ,-1.5927828,54.61995169999999
55,,NE81SQ,-1.6083361,54.9556475
56,,DL57DZ,-1.5927828,54.61995169999999
57,,DL57DZ,-1.5927828,54.61995169999999
58,,NE110XN,-1.6235549,54.90296559999999
59,,DL30QT,-1.5597151,54.54105120000001
60,,TS181DY,-1.3175627,54.5637923
61,,NE47QA,-1.6441798,54.9662716
62,,NE110AT,-1.6380024,54.9386443
63,,DL15PW,-1.5552655,54.5240702
64,,NE437BJ,-1.8879133,54.9537877
65,,SR52JR,-1.4026432,54.9210205
66,,DL39HE,-1.5942065,54.54026
67,,DH15HL,-1.5810966,54.79978029999999
68,,SR79NL,-1.383377,54.8153332
69,,TS13LF,-1.2373683,54.5658361
70,,TS181HD,-1.3176217,54.5628495
71,,TS15NQ,-1.24589,54.5734574
72,,DH90JE,-1.6978006,54.871469
73,,TS30AA,-1.1966684,54.54997340000001
74,,DH21DE,-1.6092726,54.8729726
75,,NE392BE,-1.7832109,54.9308404
76,,NE404AT,-1.7936367,54.9521999
77,,NE63SW,-1.5526729,54.9635127
78,,NE48ED,-1.6543555,54.969835
79,,NE426PH,-1.8645502,54.9608609
80,,TS247AD,-1.2068758,54.6852778
81,,NE12AF,-1.6036404,54.9710724
82,,TS232HJ,-1.2838229,54.6085305
83,,TS199LF,-1.3452975,54.589871
84,,TS182HR,-1.3027815,54.5704613
85,,TS268DB,-1.2179079,54.6850819
86,,DH22EY,-1.57925,54.8627057
87,,NE84QP,-1.6099706,54.9489996
88,,NE97AL,-1.564771,54.9289385
89,,NE81YN,-1.6130857,54.9510237
90,,SR33HG,-1.4284034,54.8748856
91,,TS79LF,-1.1749383,54.5505285
92,,TS190FB,-1.3259501,54.5808318
93,,DH76FB,-1.6278191,54.8233909
94,,SR32PE,-1.422608,54.8697953
95,,SR28AB,-1.373538,54.9010544
96,,SR12QF,-1.3783088,54.90289240000001
97,,SR85NJ,-1.3259052,54.7645299
98,,DH62LT,-1.3860913,54.76300000000001
99,,SR12QB,-1.3760593,54.9046379
100,,DH12EY,-1.5518637,54.77559369999999
101,,NE47RW,-1.6366406,54.9655123
102,,NE158NY,-1.7176718,54.9697337
103,,TS254JY,-1.2403696,54.6725903
104,,NE62FF,-1.5772037,54.9717187
105,,DH85SD,-1.833231,54.8528694
106,,NE12TQ,-1.597807,54.9746351
107,,NE47NQ,-1.6431982,54.96421909999999
108,,NE286RN,-1.5350658,54.9901621
109,,NE164RB,-1.6701073,54.9388968
110,,TS249BP,-1.2275715,54.705658
111,,TS249JQ,-1.2242515,54.70672099999999
112,,TS248NS,-1.216643,54.6943584
113,,NE335ND,-1.442879,54.97665379999999
114,,SR81NJ,-1.3368511,54.746554
115,,NE242EH,-1.5085421,55.1236972
